category,name
1,11 Plates
1,10 Plates
1,9 Plates
1,8 Plates
1,7 Plates
1,Soup Bowls
1,Vb Bowls 
1,Vb Coloured
1,Oblong Plates
1,Tea Cups
1,Tea Saucers
1,Coffee Cups
1,Coffee Saucers 
1,White Sqr Plates 
1,Lemon Dishes
1,Glass Square 
2,Soup Spoon 
2,Table Knives 
2,Table Forks 
2,Dessert Knives
2,Dessert Forks 
2,Dessert Spoons
2,Fish Knives
2,Fish Forks 
2,Teaspoons 
2,Coffee Spoons 
2,Serving Spoons 
2,Serving Forks 
2,Cheese Knife
2,Cake Slice 
2,Glass Pinch Pot 
3,Red Wine 
3,White Wine 
3,Water 
3,Port/Dessert
3,Champagne 
3,Spirit Tumbler 
3,Tall Glasses 
3,Brandy Glasses 
3,Martini Glasses
3,Decanters
3,Carafes
3,Glass Jugs 
4,Fabric Runner 
4,Panels
4,Elevations
4,Books 
4,Plants 
5,130 Round
5,144 Long
5,108 Long
5,90 Square
5,70 Square
5,Coloured Top
5,Linen Napkins
5,Polishing Clth
5,Paper Napkins
5,Cocktails Naps
5,Linen Bags 
6,Pu Jugs 
6,Plastic Trays 
6,Chopping Board 
6,Metal Spoons 
6,Scissors
6,Ladles 
6,Fish Slice 
6,Wooden Spoons 
6,Whisk 
6,Palet Knife
6,Cling Film 
6,Tin Foil
6,Paper Towel 
6,White Centre Feed 
6,Big Lighter
6,Cocktails Sticks 
6,Tea Towels 
6,Jay Cloths 
7,Coffee Sets 
7,Large Thermal Pots
7,Cafetieres 
7,Ceramic Milk Jug
7,Filter Coffee
7,Instant Coffee
7,Decaf Coffee
7,Tea Bags 
7,Earl Gray Tea
7,Pepper Mint Tea
7,Camomille 
7,Sugar Cubes 
7,Cheese Biscuits
7,Malden Salt
7,Table Salt
7,Ground Blk Pepper
8,Washing Up Liquid 
8,Flash
8,Sanitizer 
8,Hand Soap
8,Rubber Gloves 
8,Scourers 
8,Dustbins 
8,Broom
8,Mop Bucket & Handle
8,Mop Head
8,Dustpan & Brush 
8,Rubbish Bags 
9,Trays
9,New Oval Ice Buckets 
9,Ice Scoop
9,Corkscrew 
9,Spirit Pourer 
9,Bar Rubber Floor
9,Muslin & Funnel
9,Silver Bowl
